timestamp,customer_no,location
07:00:00,1,fruit
07:01:00,1,fruit
07:01:00,2,dairy
07:02:00,1,fruit
07:02:00,2,checkout
07:02:00,3,fruit
07:03:00,1,fruit
07:03:00,3,fruit
07:03:00,4,drinks
07:04:00,1,dairy
07:04:00,3,fruit
07:04:00,4,drinks
07:04:00,5,fruit
07:05:00,1,dairy
07:05:00,3,fruit
07:05:00,4,fruit
07:05:00,5,fruit
07:05:00,6,dairy
07:06:00,1,dairy
07:06:00,3,fruit
07:06:00,4,fruit
07:06:00,5,fruit
07:06:00,6,dairy
07:06:00,7,drinks
07:07:00,1,dairy
07:07:00,3,fruit
07:07:00,4,fruit
07:07:00,5,fruit
07:07:00,6,drinks
07:07:00,7,drinks
07:07:00,8,fruit
07:08:00,1,dairy
07:08:00,3,fruit
07:08:00,4,fruit
07:08:00,5,checkout
07:08:00,6,drinks
07:08:00,7,drinks
07:08:00,8,dairy
07:08:00,9,spices
07:09:00,1,dairy
07:09:00,3,fruit
07:09:00,4,dairy
07:09:00,6,drinks
07:09:00,7,checkout
07:09:00,8,dairy
07:09:00,9,drinks
07:09:00,10,drinks
07:10:00,1,dairy
07:10:00,3,fruit
07:10:00,4,dairy
07:10:00,6,drinks
07:10:00,8,dairy
07:10:00,9,drinks
07:10:00,10,drinks
07:10:00,11,fruit
07:11:00,1,dairy
07:11:00,3,checkout
07:11:00,4,spices
07:11:00,6,checkout
07:11:00,8,fruit
07:11:00,9,checkout
07:11:00,10,drinks
07:11:00,11,spices
07:11:00,12,drinks
07:12:00,1,dairy
07:12:00,4,drinks
07:12:00,8,checkout
07:12:00,10,drinks
07:12:00,11,spices
07:12:00,12,drinks
07:12:00,13,spices
07:13:00,1,dairy
07:13:00,4,drinks
07:13:00,10,checkout
07:13:00,11,spices
07:13:00,12,drinks
07:13:00,13,spices
07:13:00,14,dairy
07:14:00,1,checkout
07:14:00,4,drinks
07:14:00,11,spices
07:14:00,12,drinks
07:14:00,13,spices
07:14:00,14,checkout
07:14:00,15,dairy
07:15:00,4,drinks
07:15:00,11,fruit
07:15:00,12,spices
07:15:00,13,spices
07:15:00,15,dairy
07:15:00,16,fruit
07:16:00,4,checkout
07:16:00,11,fruit
07:16:00,12,spices
07:16:00,13,drinks
07:16:00,15,dairy
07:16:00,16,fruit
07:16:00,17,drinks
07:17:00,11,checkout
07:17:00,12,checkout
07:17:00,13,drinks
07:17:00,15,dairy
07:17:00,16,fruit
07:17:00,17,drinks
07:17:00,18,fruit
07:18:00,12,checkout
07:18:00,13,drinks
07:18:00,15,dairy
07:18:00,16,fruit
07:18:00,17,drinks
07:18:00,18,fruit
07:18:00,19,dairy
07:19:00,13,spices
07:19:00,15,dairy
07:19:00,16,fruit
07:19:00,17,drinks
07:19:00,18,fruit
07:19:00,19,dairy
07:19:00,20,spices
07:20:00,13,checkout
07:20:00,15,dairy
07:20:00,16,fruit
07:20:00,17,fruit
07:20:00,18,fruit
07:20:00,19,fruit
07:20:00,20,drinks
07:20:00,21,spices
07:21:00,15,dairy
07:21:00,16,fruit
07:21:00,17,checkout
07:21:00,18,fruit
07:21:00,19,fruit
07:21:00,20,checkout
07:21:00,21,dairy
07:21:00,22,fruit
07:22:00,15,dairy
07:22:00,16,fruit
07:22:00,18,checkout
07:22:00,19,checkout
07:22:00,21,dairy
07:22:00,22,fruit
07:22:00,23,drinks
07:23:00,15,dairy
07:23:00,16,fruit
07:23:00,19,checkout
07:23:00,21,dairy
07:23:00,22,checkout
07:23:00,23,drinks
07:23:00,24,dairy
07:24:00,15,dairy
07:24:00,16,fruit
07:24:00,21,dairy
07:24:00,23,drinks
07:24:00,24,fruit
07:24:00,25,fruit
07:25:00,15,dairy
07:25:00,16,dairy
07:25:00,21,dairy
07:25:00,23,drinks
07:25:00,24,fruit
07:25:00,25,fruit
07:25:00,26,dairy
07:26:00,15,dairy
07:26:00,16,checkout
07:26:00,21,fruit
07:26:00,23,drinks
07:26:00,24,fruit
07:26:00,25,fruit
07:26:00,26,dairy
07:26:00,27,fruit
07:27:00,15,dairy
07:27:00,21,fruit
07:27:00,23,drinks
07:27:00,24,fruit
07:27:00,25,fruit
07:27:00,26,dairy
07:27:00,27,fruit
07:27:00,28,drinks
07:28:00,15,dairy
07:28:00,21,checkout
07:28:00,23,drinks
07:28:00,24,fruit
07:28:00,25,spices
07:28:00,26,dairy
07:28:00,27,checkout
07:28:00,28,drinks
07:28:00,29,fruit
07:29:00,15,dairy
07:29:00,23,drinks
07:29:00,24,drinks
07:29:00,25,drinks
07:29:00,26,dairy
07:29:00,28,drinks
07:29:00,29,checkout
07:29:00,30,dairy
07:30:00,15,dairy
07:30:00,23,checkout
07:30:00,24,checkout
07:30:00,25,drinks
07:30:00,26,dairy
07:30:00,28,drinks
07:30:00,30,dairy
07:30:00,31,spices
07:31:00,15,checkout
07:31:00,24,checkout
07:31:00,25,drinks
07:31:00,26,dairy
07:31:00,28,drinks
07:31:00,30,dairy
07:31:00,31,spices
07:31:00,32,spices
07:32:00,24,checkout
07:32:00,25,drinks
07:32:00,26,checkout
07:32:00,28,drinks
07:32:00,30,dairy
07:32:00,31,spices
07:32:00,32,checkout
07:32:00,33,spices
07:33:00,25,drinks
07:33:00,28,drinks
07:33:00,30,fruit
07:33:00,31,dairy
07:33:00,33,dairy
07:33:00,34,dairy
07:34:00,25,spices
07:34:00,28,drinks
07:34:00,30,checkout
07:34:00,31,dairy
07:34:00,33,dairy
07:34:00,34,spices
07:34:00,35,dairy
07:35:00,25,dairy
07:35:00,28,drinks
07:35:00,31,dairy
07:35:00,33,dairy
07:35:00,34,spices
07:35:00,35,dairy
07:35:00,36,spices
07:36:00,25,dairy
07:36:00,28,spices
07:36:00,31,dairy
07:36:00,33,dairy
07:36:00,34,spices
07:36:00,35,fruit
07:36:00,36,drinks
07:36:00,37,dairy
07:37:00,25,dairy
07:37:00,28,checkout
07:37:00,31,dairy
07:37:00,33,dairy
07:37:00,34,dairy
07:37:00,35,checkout
07:37:00,36,drinks
07:37:00,37,checkout
07:37:00,38,dairy
07:38:00,25,checkout
07:38:00,31,dairy
07:38:00,33,dairy
07:38:00,34,dairy
07:38:00,36,drinks
07:38:00,38,dairy
07:38:00,39,drinks
07:39:00,31,dairy
07:39:00,33,dairy
07:39:00,34,dairy
07:39:00,36,checkout
07:39:00,38,dairy
07:39:00,39,drinks
07:39:00,40,drinks
07:40:00,31,fruit
07:40:00,33,dairy
07:40:00,34,spices
07:40:00,38,dairy
07:40:00,39,drinks
07:40:00,40,drinks
07:40:00,41,dairy
07:41:00,31,spices
07:41:00,33,dairy
07:41:00,34,checkout
07:41:00,38,dairy
07:41:00,39,checkout
07:41:00,40,fruit
07:41:00,41,dairy
07:41:00,42,fruit
07:42:00,31,spices
07:42:00,33,dairy
07:42:00,38,dairy
07:42:00,40,fruit
07:42:00,41,drinks
07:42:00,42,fruit
07:42:00,43,drinks
07:43:00,31,spices
07:43:00,33,fruit
07:43:00,38,dairy
07:43:00,40,dairy
07:43:00,41,drinks
07:43:00,42,drinks
07:43:00,43,spices
07:43:00,44,spices
07:44:00,31,drinks
07:44:00,33,spices
07:44:00,38,dairy
07:44:00,40,dairy
07:44:00,41,fruit
07:44:00,42,drinks
07:44:00,43,dairy
07:44:00,44,spices
07:44:00,45,dairy
07:45:00,31,drinks
07:45:00,33,dairy
07:45:00,38,dairy
07:45:00,40,spices
07:45:00,41,fruit
07:45:00,42,drinks
07:45:00,43,dairy
07:45:00,44,drinks
07:45:00,45,dairy
07:45:00,46,spices
07:46:00,31,drinks
07:46:00,33,dairy
07:46:00,38,dairy
07:46:00,40,dairy
07:46:00,41,dairy
07:46:00,42,drinks
07:46:00,43,dairy
07:46:00,44,drinks
07:46:00,45,fruit
07:46:00,46,drinks
07:46:00,47,spices
07:47:00,31,drinks
07:47:00,33,dairy
07:47:00,38,dairy
07:47:00,40,dairy
07:47:00,41,checkout
07:47:00,42,drinks
07:47:00,43,dairy
07:47:00,44,drinks
07:47:00,45,fruit
07:47:00,46,checkout
07:47:00,47,drinks
07:47:00,48,fruit
07:48:00,31,dairy
07:48:00,33,dairy
07:48:00,38,dairy
07:48:00,40,dairy
07:48:00,42,drinks
07:48:00,43,dairy
07:48:00,44,drinks
07:48:00,45,fruit
07:48:00,47,checkout
07:48:00,48,spices
07:48:00,49,spices
07:49:00,31,dairy
07:49:00,33,dairy
07:49:00,38,drinks
07:49:00,40,dairy
07:49:00,42,checkout
07:49:00,43,dairy
07:49:00,44,checkout
07:49:00,45,drinks
07:49:00,48,drinks
07:49:00,49,spices
07:49:00,50,drinks
07:50:00,31,checkout
07:50:00,33,dairy
07:50:00,38,drinks
07:50:00,40,dairy
07:50:00,43,dairy
07:50:00,45,drinks
07:50:00,48,drinks
07:50:00,49,spices
07:50:00,50,drinks
07:50:00,51,fruit
07:51:00,33,dairy
07:51:00,38,checkout
07:51:00,40,checkout
07:51:00,43,dairy
07:51:00,45,drinks
07:51:00,48,drinks
07:51:00,49,dairy
07:51:00,50,checkout
07:51:00,51,fruit
07:51:00,52,drinks
07:52:00,33,dairy
07:52:00,40,checkout
07:52:00,43,checkout
07:52:00,45,spices
07:52:00,48,checkout
07:52:00,49,dairy
07:52:00,51,dairy
07:52:00,52,drinks
07:52:00,53,drinks
07:53:00,33,dairy
07:53:00,43,checkout
07:53:00,45,dairy
07:53:00,49,dairy
07:53:00,51,checkout
07:53:00,52,checkout
07:53:00,53,fruit
07:53:00,54,fruit
07:54:00,33,dairy
07:54:00,45,dairy
07:54:00,49,dairy
07:54:00,52,checkout
07:54:00,53,fruit
07:54:00,54,spices
07:54:00,55,dairy
07:55:00,33,dairy
07:55:00,45,drinks
07:55:00,49,drinks
07:55:00,53,fruit
07:55:00,54,fruit
07:55:00,55,spices
07:55:00,56,dairy
07:56:00,33,dairy
